school,school_id,division,level,year,region
ASA New York,asabrooklynavengers,njcaa-1,NJCAA,2013,NA
Abraham Baldwin,abrahambaldwinagriculturalcollege,njcaa-1,NJCAA,2013,17
Allen County,allencountycommunitycollege,njcaa-1,NJCAA,2013,6
Alvin,alvincommunitycollege,njcaa-1,NJCAA,2013,14
Andrew,andrewcollege,njcaa-1,NJCAA,2013,17
Angelina,angelinacollege,njcaa-1,NJCAA,2013,14
Arizona Western,arizonawesterncollege,njcaa-1,NJCAA,2013,1
Arkansas Baptist,arkansasbaptistcollege,njcaa-1,NJCAA,2013,NA
Barton,bartoncommunitycollege,njcaa-1,NJCAA,2013,6
Baton Rouge,batonrougecommunitycollege,njcaa-1,NJCAA,2013,23
Bishop State,bishopstatecommunitycollege,njcaa-1,NJCAA,2013,22
Blinn,blinncollege,njcaa-1,NJCAA,2013,14
Bossier Parish,bossierparishcommunitycollege,njcaa-1,NJCAA,2013,14
Broward,browardcollege,njcaa-1,NJCAA,2013,NA
Butler,butlercommunitycollegeks,njcaa-1,NJCAA,2013,6
Calhoun,calhouncommunitycollege,njcaa-1,NJCAA,2013,22
Central Alabama,centralalabamacommunitycollege,njcaa-1,NJCAA,2013,22
Central Arizona,centralarizonacollege,njcaa-1,NJCAA,2013,1
Central Florida,collegeofcentralflorida,njcaa-1,NJCAA,2013,8
Chattahoochee Valley,chattahoocheevalleycommunitycollege,njcaa-1,NJCAA,2013,22
Chattanooga State,chattanoogastatecommunitycollege,njcaa-1,NJCAA,2013,7
Chesapeake,chesapeakecollege,njcaa-1,NJCAA,2013,NA
Chipola,chipolacollege,njcaa-1,NJCAA,2013,8
Cisco,ciscocollege,njcaa-1,NJCAA,2013,5
Clarendon,clarendoncollege,njcaa-1,NJCAA,2013,5
Cleveland State,clevelandstatecommunitycollege,njcaa-1,NJCAA,2013,7
Cloud County,cloudcountycommunitycollege,njcaa-1,NJCAA,2013,6
Coastal Alabama - Bay Minette,faulknerstatecommunitycollege,njcaa-1,NJCAA,2013,22
Coastal Alabama - Brewton,jeffersondaviscommunitycollege,njcaa-1,NJCAA,2013,22
Coastal Alabama - Monroeville,alabamasoutherncommunitycollege,njcaa-1,NJCAA,2013,22
Cochise,cochisecollege,njcaa-1,NJCAA,2013,1
Coffeyville,coffeyvillecommunitycollege,njcaa-1,NJCAA,2013,6
Colby,colbycommunitycollege,njcaa-1,NJCAA,2013,6
Colorado Northwestern,coloradonorthwesterncommunitycollege,njcaa-1,NJCAA,2013,18
Columbia State,columbiastatecommunitycollege,njcaa-1,NJCAA,2013,7
Connors State,connorsstatecollege,njcaa-1,NJCAA,2013,2
Cowley,cowleycountycommunitycollege,njcaa-1,NJCAA,2013,6
Crowder,crowdercollege,njcaa-1,NJCAA,2013,16
Darton State,dartoncollege,njcaa-1,NJCAA,2013,NA
Daytona State,daytonastatecollege,njcaa-1,NJCAA,2013,8
Delgado,delgadocommunitycollege,njcaa-1,NJCAA,2013,23
Dodge City,dodgecitycommunitycollege,njcaa-1,NJCAA,2013,6
Dyersburg State,dyersburgstatecommunitycollege,njcaa-1,NJCAA,2013,7
East Georgia State,eastgeorgiacollege,njcaa-1,NJCAA,2013,17
Eastern Arizona,easternarizonacollege,njcaa-1,NJCAA,2013,1
Eastern Florida State,brevardcommunitycollege,njcaa-1,NJCAA,2013,8
Eastern Oklahoma State,easternoklahomastatecollege,njcaa-1,NJCAA,2013,2
El Paso,elpasocommunitycollege,njcaa-1,NJCAA,2013,5
Enterprise State,enterprisestatecommunitycollege,njcaa-1,NJCAA,2013,22
Florence-Darlington Tech,florencedarlingtontechnicalcollege,njcaa-1,NJCAA,2013,10
Florida State Jacksonville,floridastatecollegeatjacksonville,njcaa-1,NJCAA,2013,NA
Fort Scott,fortscottcommunitycollege,njcaa-1,NJCAA,2013,6
Frank Phillips,frankphillipscollege,njcaa-1,NJCAA,2013,5
Galveston,galvestoncollege,njcaa-1,NJCAA,2013,14
Garden City,gardencitycommunitycollege,njcaa-1,NJCAA,2013,6
Georgia Perimeter,georgiaperimetercollege,njcaa-1,NJCAA,2013,NA
Globe Tech,globeinstituteoftechnology,njcaa-1,NJCAA,2013,NA
Gordon State,gordonstatecollege,njcaa-1,NJCAA,2013,17
Grayson,graysoncountycollege,njcaa-1,NJCAA,2013,5
Guilford Tech,guilfordtechnicalcommunitycollege,njcaa-1,NJCAA,2013,NA
Gulf Coast State,gulfcoaststatecollege,njcaa-1,NJCAA,2013,8
Hagerstown,hagerstowncommunitycollege,njcaa-1,NJCAA,2013,20
